"ID","Phase","Module","Feature","Description","Frontend_days","Backend_days","DevOps_days","QA_days","Dependencies","Acceptance_Criteria","Priority"
"INFO-001","Info","Assumptions","Estimate basis","1 FE, 1 BE, 0.25 DevOps, 0.5 QA; 8h/day; moderate complexity; includes build, code review, basic docs","0","0","0","0","","Understood as baseline for all estimates","N/A"
"INFO-002","Info","Assumptions","Out of scope for time","Legal review, production SLA contracts, detailed security pentest, content copywriting","0","0","0","0","","Handled outside engineering estimates","N/A"
"AUTH-001","MVP","User Accounts & Access","Buyer accounts (register/login)","Email/password auth, verification email, password reset","2","2","0.25","1","","Buyer can create account, verify email, login, reset password","P1"
"AUTH-002","MVP","User Accounts & Access","Supplier accounts (register/onboarding)","Supplier signup with org details and KYC fields","2","2","0","1","AUTH-001","Supplier can signup and access supplier dashboard","P1"
"AUTH-003","MVP","User Accounts & Access","Org membership & roles","Buyer Admin/Staff, Supplier Admin/Staff; role guards","1","3","0","1","AUTH-001","Role-protected endpoints and pages function as expected","P1"
"AUTH-004","MVP","Admin Panel Access","Admin login & RBAC","Admin-only area with RBAC and audit trail stubs","2","2","0.25","1","AUTH-003","Admin can manage core entities; unauthorized blocked","P1"
"AUTH-005","Phase 2","User Accounts & Access","Multi-user invites","Invite members to org via email; accept flow","1","2","0","0.5","AUTH-003","Admin can invite, user joins org successfully","P2"
"AUTH-006","Phase 2","User Accounts & Access","MFA (optional)","TOTP-based MFA for admins and suppliers","1","2","0","0.5","AUTH-001","MFA enroll and challenge flows work","P3"
"PROD-001","MVP","Product Management","Product listing create/edit","CRUD product with name, description, category, images","3","3","0","1","AUTH-002","Supplier can create/edit products with validation","P1"
"PROD-002","MVP","Product Management","Variant management","Variants with grade, packaging unit (kg/box/crate), unit weight","2","3","0","1","PROD-001","Variants can be added/edited, shown on PDP","P1"
"PROD-003","MVP","Product Management","Product images upload","Multi-image upload to S3-compatible storage","1","2","0.25","0.5","PROD-001","Images upload, display, and delete work; size constraints","P1"
"PROD-004","MVP","Product Management","Inventory batches","Available quantity per variant; batch code, dates","2","3","0","1","PROD-002","Inventory adjusts orderable quantities in UI and API","P1"
"PROD-005","MVP","Pricing & Transactions","Wholesale price tiers","Tiered pricing per variant based on quantity","2","3","0","1","PROD-002","Correct tier applied in cart/checkout by quantity","P1"
"PROD-006","MVP","Pricing & Transactions","Minimum order quantity (MOQ)","Enforce per variant MOQ in cart","1","1","0","0.5","PROD-002","Cart prevents checkout below MOQ; clear messaging","P1"
"PROD-007","Phase 2","Product Management","Seasonal calendar","Seasonal availability window; calendar view","1.5","2","0","0.5","PROD-001","Products show seasonal badges; calendar renders","P3"
"PROD-008","MVP","Product Management","Bulk upload/import","CSV import for products/variants/prices","1","3","0","1","PROD-001","Valid rows imported; errors reported for invalid rows","P2"
"CATALOG-001","MVP","Ordering System","Catalog browse/search","Category filters, text search, pagination","2","2","0","1","PROD-001","Users can discover products and filter effectively","P1"
"CART-001","MVP","Ordering System","Cart with units","Add to cart in kg/box/crate; quantity editing","3","2","0","1","PROD-002","Cart reflects units and totals accurately","P1"
"CHECK-001","MVP","Ordering System","Delivery/collection date selector","Pick date/slot with capacity check (basic)","2","2","0","1","LOGI-001","User can select available slots; capacity decrements on order","P1"
